"Age","ChildrenNumber","CountryCitizen","EmploymentField","EmploymentStatus","ExpectedEarning","Gender","Income","JobPref","JobRoleInterest","LanguageAtHome","MaritalStatus","SchoolDegree","StudentDebtOwe"
19,NA,"United Kingdom","software development","Employed for wages",NA,"male",18000,NA,NA,"English",NA,"high school diploma or equivalent (GED)",NA
24,NA,"France",NA,"Not working but looking for work",50000,"male",NA,"work for a startup","Full-Stack Web Developer","French",NA,"bachelor's degree",NA
34,3,"United Kingdom",NA,"A stay-at-home parent or homemaker",50000,"male",NA,"work for a startup","Back-End Web Developer","English","married or domestic partnership","high school diploma or equivalent (GED)",NA
26,NA,"United States of America","sales","Employed for wages",45000,"male",30000,"work for a startup","Data Scientist / Data Engineer","English","single, never married","some college credit, no degree",5000
38,NA,"United States of America",NA,NA,60000,"female",NA,"work for a medium-sized company","Full-Stack Web Developer","English",NA,"some college credit, no degree",8000
28,NA,"United States of America","architecture or physical engineering","Employed for wages",NA,"male",60000,"freelance",NA,"English",NA,"some college credit, no degree",NA
32,NA,"United States of America","arts, entertainment, sports, or media","Self-employed business owner",NA,"male",67000,"freelance",NA,"Yue (Cantonese) Chinese",NA,"bachelor's degree",NA
35,NA,"United States of America","education","Employed for wages",55000,"male",50000,"work for a startup","Full-Stack Web Developer","English",NA,"master's degree (non-professional)",NA
16,NA,"United States of America",NA,"Doing an unpaid internship",NA,"male",NA,"work for a multinational corporation","Full-Stack Web Developer","English",NA,"some high school",NA
23,NA,"United States of America",NA,"Not working but looking for work",80000,"male",NA,"work for a multinational corporation","Full-Stack Web Developer","English",NA,"some college credit, no degree",7000
26,NA,"United States of America","software development","Employed for wages",NA,"male",40000,NA,NA,"English","married or domestic partnership","master's degree (non-professional)",80000
25,NA,"Netherlands (Holland, Europe)","software development","Self-employed freelancer",NA,"male",30000,NA,NA,"Dutch",NA,"bachelor's degree",27000
25,NA,"United States of America","office and administrative support","Employed for wages",60000,"male",40000,"work for a medium-sized company","Full-Stack Web Developer","English","married or domestic partnership","bachelor's degree",20000
34,NA,"United States of America","education","Employed for wages",60000,"male",45000,"work for a medium-sized company","Full-Stack Web Developer","English",NA,"master's degree (non-professional)",NA
31,NA,"United States of America","finance","Employed for wages",45000,"male",34000,"work for a medium-sized company","DevOps / SysAdmin","Hindi",NA,"bachelor's degree",NA
46,3,"Sweden","arts, entertainment, sports, or media","Employed for wages",50000,"female",45000,"work for a medium-sized company","User Experience Designer","Swedish","single, never married","master's degree (non-professional)",30000
19,NA,"United States of America","software development","Employed for wages",NA,"male",10000,NA,NA,"English",NA,"some college credit, no degree",NA
22,NA,"Pakistan",NA,"Not working but looking for work",NA,"male",NA,"freelance",NA,"Urdu","single, never married","some high school",NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,NA,"United States of America","software development","Employed for wages",NA,"male",37000,NA,NA,"English","married or domestic partnership","high school diploma or equivalent (GED)",NA
25,NA,"United States of America",NA,"Military",80000,"male",NA,"work for a startup","Full-Stack Web Developer","English",NA,"some college credit, no degree",NA
15,NA,"United States of America",NA,"Not working but looking for work",NA,"female",NA,"work for a medium-sized company","Mobile Developer","English",NA,"some high school",NA
36,2,"Ecuador","software development","Self-employed freelancer",NA,"male",20000,NA,NA,"Spanish","married or domestic partnership","bachelor's degree",NA
26,NA,"United States of America","health care","Employed for wages",NA,"female",19000,"freelance",NA,"Spanish",NA,"bachelor's degree",11400
43,1,"Australia",NA,NA,NA,"male",NA,NA,NA,"Yue (Cantonese) Chinese","married or domestic partnership","Ph.D.",NA
24,NA,"Nepal",NA,"Not working but looking for work",50000,"male",NA,"work for a medium-sized company","Full-Stack Web Developer","Nepali",NA,"bachelor's degree",NA
27,2,"United States of America","food and beverage","Self-employed business owner",80000,"male",50000,"work for a medium-sized company","Back-End Web Developer","English","married or domestic partnership","bachelor's degree",NA
31,NA,"France","office and administrative support","Employed for wages",65000,"female",35000,"work for a startup","Full-Stack Web Developer","French",NA,"master's degree (non-professional)",NA
28,NA,"Canada","transportation","Employed for wages",NA,"male",70000,"freelance",NA,"English",NA,"associate's degree",NA
32,NA,"United States of America","software development","Employed for wages",NA,"male",20000,NA,NA,"English",NA,"bachelor's degree",40000
23,NA,"France",NA,NA,35000,"male",NA,"work for a medium-sized company","Back-End Web Developer","French",NA,"master's degree (non-professional)",30000
16,NA,"Netherlands (Holland, Europe)","food and beverage","Employed for wages",NA,"male",NA,"freelance",NA,"Dutch",NA,"no high school (secondary school)",NA
29,NA,"United States of America","education","Employed for wages",50000,"female",35000,"work for a medium-sized company","Full-Stack Web Developer","English",NA,"bachelor's degree",20000
43,NA,"Greece",NA,"Self-employed freelancer",NA,"male",NA,"freelance",NA,"Greek",NA,"bachelor's degree",NA
25,NA,"Canada","software development","Employed for wages",NA,"male",30000,NA,NA,"English",NA,"bachelor's degree",15000
35,NA,"United States of America","software development","Self-employed business owner",NA,"male",135000,NA,NA,"English",NA,"master's degree (non-professional)",NA
33,NA,"United States of America",NA,"Not working but looking for work",70000,"female",NA,"work for a medium-sized company","Front-End Web Developer","English",NA,"bachelor's degree",NA
18,NA,"Philippines",NA,NA,75000,"female",NA,"work for a multinational corporation","Front-End Web Developer","English",NA,"high school diploma or equivalent (GED)",NA
21,NA,"United States of America",NA,"Doing an unpaid internship",50000,"male",NA,"work for a multinational corporation","Full-Stack Web Developer","English",NA,"associate's degree",NA
24,NA,"Australia","software development","Employed for wages",NA,"male",35000,NA,NA,"Pashto",NA,"bachelor's degree",30000
20,NA,"India",NA,"Not working and not looking for work",55000,"male",NA,"work for a startup","Front-End Web Developer","Marathi",NA,"some college credit, no degree",NA
25,NA,"Jamaica","office and administrative support","Employed for wages",38000,"female",26000,"work for a medium-sized company","Back-End Web Developer","English",NA,"master's degree (non-professional)",50000
24,NA,"United States of America",NA,"Not working but looking for work",70000,"female",NA,"work for a multinational corporation","Full-Stack Web Developer","English",NA,"bachelor's degree",NA
41,3,"Barbados","software development","Employed for wages",NA,"male",75000,NA,NA,"English","married or domestic partnership","some college credit, no degree",8000
27,NA,"United States of America","software development","Employed for wages",40000,"male",16000,"work for a startup","Full-Stack Web Developer","English",NA,"bachelor's degree",70000
24,NA,"Belgium",NA,"Not working but looking for work",60000,"male",NA,"work for a medium-sized company","Data Scientist / Data Engineer","Dutch",NA,"master's degree (non-professional)",NA
22,NA,"United States of America",NA,"Not working but looking for work",70000,"male",NA,"work for a medium-sized company","Front-End Web Developer","Portuguese",NA,"bachelor's degree",NA
32,NA,"United States of America","software development","Employed for wages",NA,"male",45000,NA,NA,"English","married or domestic partnership","associate's degree",NA
28,NA,"Canada","software development","Self-employed business owner",NA,"male",NA,"start your own business",NA,"English",NA,"bachelor's degree",NA
40,2,"Ireland","education","Employed for wages",NA,"male",24000,"start your own business",NA,"English","separated","bachelor's degree",NA
31,NA,"United States of America","arts, entertainment, sports, or media","Self-employed freelancer",50000,"male",7000,"work for a medium-sized company","Full-Stack Web Developer","English",NA,"bachelor's degree",34000
22,NA,"United States of America",NA,"Doing an unpaid internship",75000,"male",NA,"work for a startup","Data Scientist / Data Engineer","English",NA,"associate's degree",NA
32,4,"United States of America",NA,"Employed for wages",NA,"male",53000,NA,NA,"English","married or domestic partnership","associate's degree",48000
36,NA,"United States of America",NA,"Not working but looking for work",60000,"female",NA,"work for a medium-sized company","Back-End Web Developer","English",NA,"master's degree (non-professional)",150000
27,2,"United States of America",NA,"Not working and not looking for work",50000,"male",NA,"work for a medium-sized company","Front-End Web Developer","English","married or domestic partnership","some college credit, no degree",23000
27,NA,"United Kingdom",NA,"Employed for wages",50000,"male",NA,"work for a startup","Data Scientist / Data Engineer","English",NA,"bachelor's degree",NA
26,NA,"Croatia","office and administrative support","Employed for wages",16000,"male",6000,"work for a medium-sized company","Full-Stack Web Developer","Serbo-Croatian",NA,"bachelor's degree",NA
30,NA,"United States of America",NA,"Not working but looking for work",72000,"male",NA,"work for a medium-sized company","Full-Stack Web Developer","English",NA,"bachelor's degree",NA
26,NA,"Bolivia",NA,"Not working but looking for work",85000,"male",NA,"work for a startup","Full-Stack Web Developer","Spanish",NA,"bachelor's degree",NA
14,NA,"United States of America",NA,NA,NA,"male",NA,"work for a medium-sized company","Full-Stack Web Developer","English",NA,"no high school (secondary school)",NA
34,1,"United States of America","education","Employed for wages",NA,"male",45000,"freelance",NA,"English","married or domestic partnership","some college credit, no degree",18000
37,1,"Ireland","transportation","Employed for wages",NA,"male",34000,"freelance",NA,"English","married or domestic partnership","some college credit, no degree",NA
34,NA,"United States of America","education","Employed for wages",50000,"female",76000,"work for a medium-sized company","Full-Stack Web Developer","English",NA,"Ph.D.",NA
24,NA,"Senegal",NA,"Not working but looking for work",30000,"male",NA,"work for a medium-sized company","Product Manager","French",NA,"associate's degree",NA
34,NA,"United States of America",NA,"Not working but looking for work",NA,"female",NA,"freelance",NA,"English",NA,"master's degree (non-professional)",NA
29,NA,"United States of America",NA,"Employed for wages",70000,"male",35000,"work for a medium-sized company","Full-Stack Web Developer","English",NA,"high school diploma or equivalent (GED)",NA
50,NA,"United States of America",NA,"Self-employed business owner",40000,"male",40000,"work for a medium-sized company","Back-End Web Developer","English",NA,"bachelor's degree",NA
19,NA,"United Kingdom",NA,NA,30000,"male",NA,"work for a medium-sized company","Full-Stack Web Developer","English",NA,"some college credit, no degree",NA
32,NA,"United States of America","education","Employed for wages",NA,"male",46000,"start your own business",NA,"English",NA,"master's degree (non-professional)",NA
22,NA,"Ireland",NA,NA,35000,"male",NA,"work for a multinational corporation","Data Scientist / Data Engineer","English",NA,"bachelor's degree",NA
26,NA,"United States of America",NA,"A stay-at-home parent or homemaker",NA,"female",NA,"freelance",NA,"English",NA,"high school diploma or equivalent (GED)",NA
30,NA,"United States of America","education","Self-employed freelancer",50000,"male",40000,"work for a multinational corporation","Front-End Web Developer","English",NA,"master's degree (non-professional)",74000
26,NA,"United States of America",NA,"Not working and not looking for work",60000,"female",NA,"work for a startup","Full-Stack Web Developer","English",NA,"some college credit, no degree",NA
27,NA,"Romania",NA,"Unable to work",NA,"male",NA,NA,NA,"Russian",NA,"bachelor's degree",NA
37,1,"Canada","office and administrative support","Employed for wages",35000,"female",15000,"work for a startup","Front-End Web Developer","French","married or domestic partnership","master's degree (non-professional)",5000
30,NA,"United States of America","software development","Employed for wages",NA,"male",10000,NA,NA,"English","married or domestic partnership","master's degree (non-professional)",160000
40,NA,"Canada",NA,"Employed for wages",NA,"female",75000,"work for a medium-sized company","Front-End Web Developer","English","married or domestic partnership","master's degree (non-professional)",NA
22,NA,"New Zealand","software development","Employed for wages",NA,"male",46000,NA,NA,"English",NA,"bachelor's degree",22612
32,NA,"United States of America",NA,"A stay-at-home parent or homemaker",85000,"male",NA,"work for a medium-sized company","Front-End Web Developer","English",NA,"master's degree (non-professional)",NA
27,1,"Australia",NA,"Employed for wages",40000,"male",20000,"work for a medium-sized company","Full-Stack Web Developer","Bengali","married or domestic partnership","bachelor's degree",NA
28,NA,"Cambodia",NA,"Not working but looking for work",NA,"male",NA,NA,NA,"Khmer","married or domestic partnership","master's degree (non-professional)",NA
50,3,"Canada","arts, entertainment, sports, or media","Self-employed freelancer",NA,"male",25000,"start your own business",NA,"English","divorced","some college credit, no degree",NA
26,NA,"United Kingdom",NA,"Self-employed freelancer",NA,"male",50000,"freelance",NA,"English",NA,"master's degree (non-professional)",40000
29,NA,"United States of America","construction and extraction","Employed for wages",NA,"male",60000,"start your own business",NA,"English",NA,"professional degree (MBA, MD, JD, etc.)",115000
34,1,"Romania","office and administrative support","Employed for wages",30000,"female",30000,"work for a medium-sized company","Full-Stack Web Developer","French","married or domestic partnership","master's degree (non-professional)",NA
36,4,"United States of America","software development","Employed for wages",NA,"male",120000,NA,NA,"English","married or domestic partnership","some college credit, no degree",4000
31,NA,"Canada","office and administrative support","Employed for wages",50000,"female",28000,"work for a medium-sized company","Product Manager","English",NA,"bachelor's degree",12000
21,NA,"Algeria",NA,"Not working but looking for work",10000,"male",NA,"work for a multinational corporation","Full-Stack Web Developer","Arabic",NA,"bachelor's degree",NA
29,NA,"United States of America","food and beverage","Employed for wages",70000,"female",25000,"work for a medium-sized company","Full-Stack Web Developer","English",NA,"bachelor's degree",NA
26,NA,"United States of America","software development","Employed for wages",NA,"female",NA,"work for a startup","User Experience Designer","English",NA,"bachelor's degree",30000
19,NA,"United States of America",NA,"Doing an unpaid internship",40000,"female",NA,"work for a multinational corporation","Full-Stack Web Developer","Yue (Cantonese) Chinese",NA,"some college credit, no degree",NA
25,NA,"Ireland",NA,"Not working but looking for work",120000,"male",NA,"work for a startup","Data Scientist / Data Engineer","English",NA,"bachelor's degree",15000
31,NA,"United States of America","finance","Employed for wages",50000,"male",45000,"work for a medium-sized company","Front-End Web Developer","English",NA,"bachelor's degree",30000
37,NA,"United States of America",NA,"Not working but looking for work",45000,"male",NA,"work for a medium-sized company","Data Scientist / Data Engineer","English",NA,"master's degree (non-professional)",0
27,NA,"United States of America",NA,"Not working and not looking for work",1e+05,"male",NA,"work for a medium-sized company","Full-Stack Web Developer","English",NA,"master's degree (non-professional)",NA
19,NA,"India",NA,NA,NA,"male",NA,"start your own business",NA,"Tamil",NA,"high school diploma or equivalent (GED)",NA
50,NA,"United States of America",NA,"Self-employed freelancer",NA,"female",NA,"freelance",NA,"English",NA,"professional degree (MBA, MD, JD, etc.)",NA
24,NA,"United States of America","health care","Employed for wages",50000,"male",20000,"work for a multinational corporation","Back-End Web Developer","English",NA,"bachelor's degree",20000
28,1,"United States of America","software development","Employed for wages",NA,"male",30000,NA,NA,"English","single, never married","bachelor's degree",8000
31,NA,"Canada",NA,"Employed for wages",40000,"female",35000,"work for a medium-sized company","Full-Stack Web Developer","French",NA,"trade, technical, or vocational training",NA
49,4,"United States of America","transportation","Employed for wages",NA,"male",126000,"freelance",NA,"English","married or domestic partnership","professional degree (MBA, MD, JD, etc.)",NA
24,NA,"Canada",NA,"Not working but looking for work",NA,"female",NA,"freelance",NA,"English",NA,"some college credit, no degree",NA
30,NA,"Guatemala",NA,"Not working but looking for work",50000,"female",NA,"work for a medium-sized company","Full-Stack Web Developer","English",NA,"bachelor's degree",NA
49,NA,"United States of America","software development","Employed for wages",NA,"male",90000,NA,NA,"English","married or domestic partnership","bachelor's degree",NA
45,NA,"United States of America",NA,"Not working but looking for work",NA,"male",NA,"freelance",NA,"English",NA,"some college credit, no degree",5000
55,3,NA,NA,"Employed for wages",NA,"male",24000,"work for a medium-sized company","Full-Stack Web Developer",NA,"married or domestic partnership","professional degree (MBA, MD, JD, etc.)",1e+05
20,NA,"Pakistan",NA,"Not working but looking for work",60000,"male",NA,"work for a medium-sized company","Front-End Web Developer","Urdu",NA,"some college credit, no degree",NA
31,1,"United States of America","office and administrative support","Self-employed freelancer",30000,"female",12000,"work for a medium-sized company","Full-Stack Web Developer","English","married or domestic partnership","some college credit, no degree",15000
21,NA,"Russia",NA,"Not working but looking for work",10000,"male",NA,"work for a startup","Front-End Web Developer","Russian",NA,"bachelor's degree",NA
36,NA,"Mexico","office and administrative support","Employed for wages",NA,"male",20000,"freelance",NA,"Spanish","married or domestic partnership","some college credit, no degree",NA
36,1,"Brazil","construction and extraction","Employed for wages",NA,"male",60000,"freelance",NA,"Portuguese","married or domestic partnership","bachelor's degree",NA
51,NA,"United States of America",NA,"Employed for wages",70000,"female",125000,"work for a medium-sized company","Back-End Web Developer","English",NA,"bachelor's degree",NA
22,NA,"United States of America",NA,"Not working and not looking for work",70000,"male",NA,"work for a medium-sized company","Full-Stack Web Developer","English",NA,"some college credit, no degree",2000
30,NA,"United Kingdom","arts, entertainment, sports, or media","Self-employed business owner",60000,"male",40000,"work for a multinational corporation","Front-End Web Developer","Bengali",NA,"bachelor's degree",18000
33,1,"Colombia","software development","Employed for wages",NA,"male",6000,NA,NA,"Spanish","married or domestic partnership","bachelor's degree",NA
32,NA,"United States of America",NA,"Not working but looking for work",50000,"male",NA,"work for a startup","Front-End Web Developer","English","married or domestic partnership","some college credit, no degree",NA
